STATEFP,COUNTYFP,TRACTCE,PUMA5CE_20,fips,PUMA5CE_new,PUMA5CE
11,001,000101,00106,11001000101,00106,101
11,001,000102,00101,11001000102,00101,101
11,001,000201,00101,11001000201,00101,101
11,001,000202,00101,11001000202,00101,101
11,001,000300,00101,11001000300,00101,101
11,001,000400,00101,11001000400,00101,101
11,001,000501,00101,11001000501,00101,101
11,001,000502,00101,11001000502,00101,101
11,001,000600,00101,11001000600,00101,101
11,001,000702,00101,11001000702,00101,101
11,001,000703,00101,11001000703,00101,101
11,001,000704,00101,11001000704,00101,101
11,001,000802,00101,11001000802,00101,101
11,001,000803,00101,11001000803,00101,101
11,001,000804,00101,11001000804,00101,101
11,001,000902,00101,11001000902,00101,101
11,001,000903,00101,11001000903,00101,101
11,001,000904,00101,11001000904,00101,101
11,001,001002,00101,11001001002,00101,101
11,001,001003,00101,11001001003,00101,101
11,001,001004,00101,11001001004,00101,101
11,001,001100,00101,11001001100,00101,101
11,001,001200,00101,11001001200,00101,101
11,001,001301,00101,11001001301,00101,101
11,001,001303,00101,11001001303,00101,101
11,001,001304,00101,11001001304,00101,101
11,001,001401,00101,11001001401,00101,101
11,001,001402,00101,11001001402,00101,101
11,001,001500,00101,11001001500,00101,101
11,001,001600,00102,11001001600,00102,102
11,001,001702,00102,11001001702,00102,102
11,001,001803,00102,11001001803,00102,102
11,001,001804,00102,11001001804,00102,102
11,001,001901,00102,11001001901,00102,102
11,001,001902,00102,11001001902,00102,102
11,001,002001,00102,11001002001,00102,102
11,001,002002,00102,11001002002,00102,102
11,001,002101,00102,11001002101,00102,102
11,001,002102,00102,11001002102,00102,102
11,001,002201,00102,11001002201,00102,102
11,001,002202,00102,11001002202,00102,102
11,001,002301,00102,11001002301,00102,102
11,001,002302,00102,11001002302,00102,102
11,001,002400,00102,11001002400,00102,102
11,001,002501,00102,11001002501,00102,102
11,001,002503,00102,11001002503,00102,102
11,001,002504,00102,11001002504,00102,102
11,001,002600,00102,11001002600,00102,102
11,001,002702,00105,11001002702,00102,102
11,001,002703,00105,11001002703,00105,102
11,001,002704,00105,11001002704,00105,102
11,001,002801,00105,11001002801,00102,102
11,001,002802,00105,11001002802,00102,102
11,001,002900,00105,11001002900,00102,102
11,001,003000,00105,11001003000,00102,102
11,001,003100,00105,11001003100,00102,102
11,001,003200,00105,11001003200,00102,105
11,001,003301,00105,11001003301,00105,105
11,001,003302,00105,11001003302,00105,105
11,001,003400,00105,11001003400,00105,105
11,001,003500,00105,11001003500,00105,105
11,001,003600,00105,11001003600,00105,105
11,001,003701,00105,11001003701,00105,105
11,001,003702,00105,11001003702,00105,105
11,001,003801,00105,11001003801,00105,105
11,001,003802,00105,11001003802,00105,105
11,001,003901,00105,11001003901,00105,105
11,001,003902,00105,11001003902,00105,105
11,001,004001,00105,11001004001,00105,105
11,001,004002,00105,11001004002,00105,105
11,001,004100,00101,11001004100,00101,101
11,001,004201,00105,11001004201,00105,105
11,001,004202,00105,11001004202,00105,105
11,001,004300,00105,11001004300,00105,105
11,001,004401,00105,11001004401,00105,105
11,001,004402,00105,11001004402,00105,105
11,001,004600,00106,11001004600,00105,105
11,001,004702,00106,11001004702,00105,105
11,001,004703,00106,11001004703,00106,105
11,001,004704,00106,11001004704,00106,105
11,001,004801,00106,11001004801,00105,105
11,001,004802,00106,11001004802,00105,105
11,001,004901,00105,11001004901,00105,105
11,001,004902,00106,11001004902,00105,105
11,001,005001,00105,11001005001,00105,105
11,001,005003,00106,11001005003,00106,105
11,001,005004,00106,11001005004,00106,105
11,001,005202,00105,11001005202,00105,105
11,001,005203,00106,11001005203,00106,105
11,001,005302,00105,11001005302,00105,105
11,001,005303,00105,11001005303,00105,105
11,001,005501,00106,11001005501,00106,105
11,001,005502,00106,11001005502,00106,105
11,001,005503,00106,11001005503,00106,105
11,001,005601,00106,11001005601,00106,105
11,001,005602,00106,11001005602,00106,105
11,001,005801,00106,11001005801,00106,105
11,001,005802,00106,11001005802,00106,105
11,001,005900,00106,11001005900,00105,105
11,001,006400,00106,11001006400,00105,105
11,001,006500,00103,11001006500,00103,103
11,001,006600,00103,11001006600,00103,103
11,001,006700,00103,11001006700,00103,103
11,001,006801,00103,11001006801,00103,103
11,001,006802,00103,11001006802,00103,103
11,001,006804,00103,11001006804,00103,103
11,001,006900,00103,11001006900,00103,103
11,001,007000,00103,11001007000,00103,103
11,001,007100,00103,11001007100,00103,103
11,001,007201,00106,11001007201,00106,105
11,001,007202,00106,11001007202,00106,105
11,001,007203,00103,11001007203,00103,105
11,001,007301,00106,11001007301,00104,104
11,001,007304,00104,11001007304,00104,104
11,001,007401,00104,11001007401,00104,104
11,001,007403,00104,11001007403,00104,104
11,001,007404,00104,11001007404,00104,104
11,001,007406,00104,11001007406,00104,104
11,001,007407,00104,11001007407,00104,104
11,001,007408,00104,11001007408,00104,104
11,001,007409,00104,11001007409,00104,104
11,001,007502,00104,11001007502,00104,104
11,001,007503,00104,11001007503,00104,104
11,001,007504,00104,11001007504,00104,104
11,001,007601,00104,11001007601,00104,104
11,001,007603,00104,11001007603,00104,104
11,001,007604,00104,11001007604,00104,104
11,001,007605,00104,11001007605,00104,104
11,001,007703,00104,11001007703,00104,104
11,001,007707,00104,11001007707,00104,104
11,001,007708,00104,11001007708,00104,104
11,001,007709,00104,11001007709,00104,104
11,001,007803,00104,11001007803,00104,104
11,001,007804,00104,11001007804,00104,104
11,001,007806,00104,11001007806,00104,104
11,001,007807,00104,11001007807,00104,104
11,001,007808,00104,11001007808,00104,104
11,001,007809,00104,11001007809,00104,104
11,001,007901,00103,11001007901,00103,103
11,001,007903,00103,11001007903,00103,103
11,001,008001,00103,11001008001,00103,103
11,001,008002,00103,11001008002,00103,103
11,001,008100,00103,11001008100,00103,103
11,001,008200,00103,11001008200,00103,103
11,001,008301,00103,11001008301,00103,103
11,001,008302,00103,11001008302,00103,103
11,001,008402,00103,11001008402,00103,103
11,001,008410,00103,11001008410,00103,103
11,001,008701,00103,11001008701,00103,103
11,001,008702,00103,11001008702,00103,103
11,001,008802,00103,11001008802,00103,103
11,001,008803,00103,11001008803,00103,103
11,001,008804,00103,11001008804,00103,103
11,001,008903,00103,11001008903,00103,103
11,001,008904,00103,11001008904,00103,103
11,001,009000,00103,11001009000,00103,103
11,001,009102,00103,11001009102,00103,103
11,001,009201,00102,11001009201,00103,103
11,001,009203,00103,11001009203,00103,103
11,001,009204,00103,11001009204,00103,103
11,001,009301,00102,11001009301,00103,103
11,001,009302,00103,11001009302,00103,103
11,001,009400,00102,11001009400,00103,103
11,001,009503,00102,11001009503,00103,103
11,001,009504,00102,11001009504,00103,103
11,001,009505,00102,11001009505,00102,102
11,001,009507,00102,11001009507,00102,102
11,001,009508,00102,11001009508,00102,102
11,001,009509,00102,11001009509,00103,103
11,001,009510,00102,11001009510,00102,102
11,001,009511,00102,11001009511,00102,102
11,001,009601,00104,11001009601,00104,104
11,001,009602,00104,11001009602,00104,104
11,001,009603,00104,11001009603,00104,104
11,001,009604,00104,11001009604,00104,104
11,001,009700,00104,11001009700,00104,104
11,001,009801,00104,11001009801,00104,104
11,001,009802,00104,11001009802,00104,104
11,001,009803,00104,11001009803,00104,104
11,001,009804,00104,11001009804,00104,104
11,001,009807,00104,11001009807,00104,104
11,001,009810,00104,11001009810,00104,104
11,001,009811,00104,11001009811,00104,104
11,001,009901,00104,11001009901,00104,104
11,001,009902,00104,11001009902,00104,104
11,001,009903,00104,11001009903,00104,104
11,001,009904,00104,11001009904,00104,104
11,001,009905,00104,11001009905,00104,104
11,001,009906,00104,11001009906,00104,104
11,001,009907,00104,11001009907,00104,104
11,001,010100,00106,11001010100,00105,105
11,001,010201,00106,11001010201,00106,105
11,001,010202,00106,11001010202,00106,105
11,001,010300,00102,11001010300,00102,102
11,001,010400,00106,11001010400,00104,104
11,001,010500,00106,11001010500,00105,105
11,001,010601,00106,11001010601,00106,105
11,001,010602,00103,11001010602,00103,105
11,001,010603,00106,11001010603,00106,105
11,001,010700,00106,11001010700,00105,105
11,001,010800,00106,11001010800,00105,105
11,001,010900,00106,11001010900,00104,104
11,001,011001,00106,11001011001,00106,105
11,001,011002,00106,11001011002,00106,105
11,001,011100,00103,11001011100,00103,103
11,001,980000,00106,11001980000,00106,105
